bookID,title,authors,num_pages,publication_date,publisher,qty
0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,652,9/16/2006,Scholastic Inc.,4
1,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,870,9/1/2004,Scholastic Inc.,1
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,352,11/1/2003,Scholastic,1
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,435,5/1/2004,Scholastic Inc.,10
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2690,9/13/2004,Scholastic,5
5,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,152,4/26/2005,Nimble Books,12
6,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,3342,9/12/2005,Scholastic,2
7,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,11/1/2005,Gramercy Books,12
8,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,4/30/2002,Del Rey Books,10
9,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,215,8/3/2004,Crown,14
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,6,3/23/2005,Random House Audio,14
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,1/17/1996,Wings Books,13
12,A Short History of Nearly Everything,Bill Bryson,544,9/14/2004,Broadway Books,3
13,Bill Bryson's African Diary,Bill Bryson,55,12/3/2002,Broadway Books,1
14,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,256,9/14/2004,Broadway Books,9
15,In a Sunburned Country,Bill Bryson,335,5/15/2001,Broadway Books,4
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,304,6/28/2000,Broadway Books,2
17,The Lost Continent: Travels in Small Town America,Bill Bryson,299,8/28/1990,William Morrow Paperbacks,13
18,Neither Here nor There: Travels in Europe,Bill Bryson,254,3/28/1993,William Morrow Paperbacks,3
19,Notes from a Small Island,Bill Bryson,324,5/28/1997,William Morrow Paperbacks,2
