22-caliber,22calibre-22caliber-22calibre
38-caliber,38caliber-38calibre-38calibre
45-caliber,45calibre-45caliber-45calibre
15-may-organization,15mayorganization
24karat-gold,puregold
401k-plan,401k
911,911-sept11-september11-sep11
ahorizon,ahorizon-ahorizon
ascan-ultrasonography,ascanultrasonography
abo-antibodies,aboantibodies
abo-blood-group-system,abobloodgroupsystem-abogroup-abosystem
ab,groupab-ab-typeab
ace-inhibitor,aceinhibitor-angiotensinconvertingenzymeinhibitor
ad,ad-annodomini-ad
aids,aids-acquiredimmunedeficiencysyndrome
and-circuit,andcircuit-andgate
ascii-character,asciicharacter
ascii-character-set,asciicharacterset
ascii-text-file,asciitextfile
asl,americansignlanguage-asl
a,a-typea-groupa
a-battery,abattery
a-level,alevel
aachen,aixlachapelle-aachen-aken
aalborg,alborg-aalborg
aalto,hugoalvarhenrikaalto-alvaraalto-aalto
aare,aareriver-aar-aare
aaron,henrylouisaaron-aaron-hankaaron
ab,av-ab
abbe-condenser,abbecondenser
abel,nielshenrikabel-nielsabel-abel
abelard,abelard-pierreabelard-peterabelard
abelian-group,abeliangroup-commutativegroup
abelmoschus,abelmoschus-genusabelmoschus
aberdeen-angus,aberdeenangus-blackangus-angus
abies,abies-genusabies
abkhaz,abkhaz-abkhazian
abkhaz,abkhas-abkhaz
abkhaz,abkhazia-abkhaz
abkhaz,abkhasian-abkhas-abkhaz-abkhazian
abkhazian,abkhasian-abkhazian
abnaki,abnaki-abenaki
abney-level,abneylevel
aborigine,aborigine-australianaborigine-nativeaustralian
abrahams-bosom,bosomofabraham-abrahamsbosom
abraham,ibrahim-abraham
abramis,genusabramis-abramis
abrocoma,abrocoma-genusabrocoma
abronia,abronia-genusabronia
abruzzi,abruzziemolise-abruzzi
abstract-expressionism,actionpainting-abstractexpressionism
abu-dhabi,abudhabi-unitedarabemiratesscapital
abu-hafs-almasri-brigades,abuhafsalmasribrigades
abu-sayyaf,abusayyaf-bearerofthesword
abudefduf,abudefduf-genusabudefduf
abuja,abuja-nigeriancapital-capitalofnigeria
abukir,abukir-abukirbay
